frame.time_relative,frame.len,ip.src,ip.dst,mqtt.msgtype,mqtt.qos,mqtt.topic,mqtt.msg,mqtt.msgid
0.000000000,76,172.19.0.2,172.19.0.3,3,1,a0,3134,1
0.000090000,66,172.19.0.3,172.19.0.2,,,,,
0.000422000,76,172.19.0.3,172.19.0.4,3,1,a0,3134,1
0.000540000,66,172.19.0.4,172.19.0.3,,,,,
0.000588000,70,172.19.0.3,172.19.0.2,4,,,,1
0.000641000,66,172.19.0.2,172.19.0.3,,,,,
0.000975000,70,172.19.0.4,172.19.0.3,4,,,,1
0.001000000,66,172.19.0.3,172.19.0.4,,,,,
1.001925000,76,172.19.0.2,172.19.0.3,3,1,a0,3437,2
1.001995000,66,172.19.0.3,172.19.0.2,,,,,
1.002258000,76,172.19.0.3,172.19.0.4,3,1,a0,3437,2
1.002378000,66,172.19.0.4,172.19.0.3,,,,,
1.002421000,70,172.19.0.3,172.19.0.2,4,,,,2
1.002522000,66,172.19.0.2,172.19.0.3,,,,,
1.003225000,70,172.19.0.4,172.19.0.3,4,,,,2
1.003248000,66,172.19.0.3,172.19.0.4,,,,,
2.001945000,76,172.19.0.2,172.19.0.3,3,1,a0,3435,3
2.002005000,66,172.19.0.3,172.19.0.2,,,,,
2.002531000,76,172.19.0.3,172.19.0.4,3,1,a0,3435,3
2.002692000,66,172.19.0.4,172.19.0.3,,,,,
2.002733000,70,172.19.0.3,172.19.0.2,4,,,,3
2.002781000,66,172.19.0.2,172.19.0.3,,,,,
2.003063000,70,172.19.0.4,172.19.0.3,4,,,,3
2.003085000,66,172.19.0.3,172.19.0.4,,,,,
3.003326000,76,172.19.0.2,172.19.0.3,3,1,a0,3636,4
3.003771000,76,172.19.0.3,172.19.0.4,3,1,a0,3636,4
3.003873000,70,172.19.0.3,172.19.0.2,4,,,,4
3.003923000,66,172.19.0.2,172.19.0.3,,,,,
3.004284000,70,172.19.0.4,172.19.0.3,4,,,,4
3.004306000,66,172.19.0.3,172.19.0.4,,,,,
4.004692000,76,172.19.0.2,172.19.0.3,3,1,a0,3235,5
4.005842000,76,172.19.0.3,172.19.0.4,3,1,a0,3235,5
4.006003000,70,172.19.0.3,172.19.0.2,4,,,,5
4.006134000,66,172.19.0.2,172.19.0.3,,,,,
4.007148000,70,172.19.0.4,172.19.0.3,4,,,,5
4.007186000,66,172.19.0.3,172.19.0.4,,,,,
5.004776000,76,172.19.0.2,172.19.0.3,3,1,a0,3932,6
5.005398000,76,172.19.0.3,172.19.0.4,3,1,a0,3932,6
5.005518000,70,172.19.0.3,172.19.0.2,4,,,,6
5.005622000,66,172.19.0.2,172.19.0.3,,,,,
5.005961000,70,172.19.0.4,172.19.0.3,4,,,,6
5.005989000,66,172.19.0.3,172.19.0.4,,,,,
6.006280000,76,172.19.0.2,172.19.0.3,3,1,a0,3238,7
6.007169000,76,172.19.0.3,172.19.0.4,3,1,a0,3238,7
6.007384000,70,172.19.0.3,172.19.0.2,4,,,,7
6.007518000,66,172.19.0.2,172.19.0.3,,,,,
6.008257000,70,172.19.0.4,172.19.0.3,4,,,,7
6.008297000,66,172.19.0.3,172.19.0.4,,,,,
7.006817000,75,172.19.0.2,172.19.0.3,3,1,a0,31,8
7.007670000,75,172.19.0.3,172.19.0.4,3,1,a0,31,8
7.007868000,70,172.19.0.3,172.19.0.2,4,,,,8
7.007944000,66,172.19.0.2,172.19.0.3,,,,,
7.008324000,70,172.19.0.4,172.19.0.3,4,,,,8
7.008378000,66,172.19.0.3,172.19.0.4,,,,,
8.009936000,75,172.19.0.2,172.19.0.3,3,1,a0,35,9
